SBD,Sở GD,Toán,Văn,Sử,Địa,Lí,Hoá,Sinh,Ngoại ngữ,GDCD,Năm thi
02000979,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,7.5,6.75,7.5,,,,7.4,8,2024
02000980,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,,,8,,6.75,7.2,,2024
02000981,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,8.75,,,4,,6.25,6.4,,2024
02000982,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7,,,6.5,,5.5,7.4,,2024
02000983,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.75,8.5,7.75,,,,8.6,9,2024
02000984,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6.75,7,6.75,,,,7,8.25,2024
02000985,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,7.5,8,,,,5.8,8,2024
02000986,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,9,8.25,8,,,,8.8,8.75,2024
02000987,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7,8,7.75,,,,8,9,2024
02000988,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,8,,,5.75,,4.25,7.2,,2024
02000989,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8,,,9,,7.75,8.8,,2024
02000990,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8,,,8,,6.75,8,,2024
02000991,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8,,,7,,5.5,9,,2024
02000992,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,7.5,7,6.5,,,,4.8,7,2024
02000993,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.5,,,9.25,,6.5,8.6,,2024
02000994,Sở GD&ĐT Thành Phố Hồ Chí Minh,5,7.25,5,6,,,,9,7.75,2024
02000995,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,4.75,6.25,6.5,,,,4.6,8,2024
02000996,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.5,,,5,,8.5,,,2024
02000997,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,7.5,,5.75,9.2,,2024
02000998,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.5,,,4.5,,7.25,5.8,,2024
02000999,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.5,7.75,8,,,,9.2,9,2024
02001000,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,4.25,,4.75,9.6,,2024
02001001,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,6,6.25,8,,,,7,8.25,2024
02001002,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,5.75,,8.75,9.6,,2024
02001003,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7,,,7.25,,7,8.4,,2024
02001004,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.5,,,6.25,,6.5,9.4,,2024
02001005,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.5,,,4,,8.25,9,,2024
02001006,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,7.75,,5.75,8,,2024
02001007,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,3.25,,8.5,6.4,,2024
02001008,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,7.5,8.5,,,,8.4,8.75,2024
02001009,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8,5.5,7.25,,,,8.2,8.75,2024
02001010,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7.25,,,8,,6.5,6.8,,2024
02001011,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.5,,,6.25,,5,6.2,,2024
02001012,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.25,,,6.75,,8.25,7.2,,2024
02001013,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8,6.5,7.25,,,,8.6,8.25,2024
02001014,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8.25,,,7.75,,6.25,7,,2024
02001015,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.75,6.75,5.5,,,,5.8,8,2024
02001016,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.25,8.75,6.25,,,,8.4,7.75,2024
02001017,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8,7.25,7.5,,,,9.2,8.25,2024
02001018,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.25,,,8.75,,6,8.6,,2024
02001019,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,5.25,,,6,,5.5,8.6,,2024
02001020,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,3,,,5,,8.5,8.4,,2024
02001021,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.75,6.5,8,,,,8,8.5,2024
02001022,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,6.5,,7.25,7.8,,2024
02001023,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6,,,7,,6.25,9,,2024
02001024,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6.75,,,7.5,,5,7.4,,2024
02001025,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.5,8.5,9.25,,,,9,8.75,2024
02001026,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,,,7.75,,7.25,9.4,,2024
02001027,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.5,8,6.25,,,,6.2,7.5,2024
02001028,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,8.75,,6.25,9.4,,2024
02001029,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.5,,,6,,7,,,2024
02001030,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.5,5,5.75,,,,7.4,8,2024
02001031,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,4,5.75,6.75,,,,4.8,6.75,2024
02001032,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.75,7.25,7.75,,,,7,8.5,2024
02001033,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7,5,7.75,,,,8.4,9.5,2024
02001034,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,,,7.75,,7.25,8.6,,2024
02001035,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,8.5,9.25,7.75,,,,9,8.75,2024
02001036,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.2,6.5,4.5,6.5,,,,7,7.5,2024
02001037,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8.25,,,4.5,,8.5,8.2,,2024
02001038,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,5.25,,8.25,8.2,,2024
02001039,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.25,,,6.5,,6,7.6,,2024
02001040,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,,,7.25,,6.5,9.2,,2024
02001041,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.25,8,9,,,,9.4,9,2024
02001042,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,8.75,8.75,7.5,,,,7,9.25,2024
02001043,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,,,7.25,,7.25,9.2,,2024
02001044,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.5,8.25,7.75,,,,9.4,9.25,2024
02001045,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.25,,,7.25,,4,8.2,,2024
02001046,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,,,4.75,,5.25,7.4,,2024
02001047,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6.75,,,6.5,,6,6.8,,2024
02001048,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5.75,,,8.5,,4.25,8.8,,2024
02001049,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.75,,,5,,5.5,7.8,,2024
02001050,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.5,,,8.25,,6,,,2024
02001051,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.75,6,7.5,,,,6.6,8.75,2024
02001052,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,7.25,7.75,8.5,,,,5,7.5,2024
02001053,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.75,,,8.25,,7.5,9.4,,2024
02001054,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7,5.5,6.75,,,,7.8,7.75,2024
02001055,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.5,8.25,9,,,,9.2,7.5,2024
02001056,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.6,5.25,4.75,6,,,,3.2,7,2024
02001057,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.5,,,6,,5,7.6,,2024
02001058,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.75,9,7.75,,,,8.6,9,2024
02001059,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.75,,,5,,8.25,7.8,,2024
02001060,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8.75,6.5,6.75,,,,7.6,7,2024
02001061,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,9,,,4.5,,9,8.8,,2024
02001062,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,9,9.75,9,,,,9.4,9.75,2024
02001063,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,8.25,4.25,6,,,,5,8.5,2024
02001064,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8,,,4.5,,6.75,,,2024
02001065,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8,5.25,6.5,,,,9.2,9.25,2024
02001066,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.75,7,8.5,,,,8,8.5,2024
02001067,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,7.5,7.25,7.25,,,,9.6,8.5,2024
02001068,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,9.25,6.75,7.25,,,,9,7.75,2024
02001069,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,9,7.75,7.5,,,,9.4,9,2024
02001070,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.5,,,4,,6,7,,2024
02001071,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.5,8.25,7.25,,,,8.6,9,2024
02001072,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.75,8.25,8,,,,,9,2024
02001073,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.75,,,6.25,,7,,,2024
02001074,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8,8.25,6.25,,,,9.6,8.5,2024
02001075,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,7.25,6.5,7.5,,,,9,7.75,2024
02001076,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.5,,,6.5,,7.5,9,,2024
02001077,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.75,7.75,8.75,,,,9,9.25,2024
02001078,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.5,,,5.75,,8,6.6,,2024
02001079,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6,,,5.25,,6,8.4,,2024
02001080,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5,,,7.25,,6,8.6,,2024
02001081,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.25,,,5,,5,7.6,,2024
02001082,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,4.75,,,6.25,,5.25,7.6,,2024
02001083,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,4.75,,,6.75,,4.75,5,,2024
02001084,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,9,9,8.5,,,,8,7.25,2024
02001085,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.5,,,6.75,,3.75,7.6,,2024
02001086,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,,,6.25,,7,8.8,,2024
02001087,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,8,6,6.75,,,,3.8,7.5,2024
02001088,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.25,,,4.5,,6.25,9.6,,2024
02001089,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8,7.75,6.5,,,,7.8,8,2024
02001090,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.5,7.25,8.5,,,,9.6,8.75,2024
02001091,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,8.25,,,9,,7.25,9.4,,2024
02001092,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,8.25,7.75,8,,,,,8.75,2024
02001093,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,8.25,,6.5,7.4,,2024
02001094,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.75,7,6.75,,,,9.2,8.5,2024
02001095,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,,,5.25,,6,9.4,,2024
02001096,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7,,,7.75,,5.75,8.6,,2024
02001097,Sở GD&ĐT Thành Phố Hồ Chí Minh,4.2,3.75,4.75,5,,,,3.4,6,2024
02001098,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.25,,,7.5,,6.75,,,2024
02001099,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,6,,,8.25,,7.25,9.2,,2024
02001100,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,,,4.5,,5.5,8.8,,2024
02001101,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,6.25,7.75,,,,8.2,8,2024
02001102,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7.5,5,7.5,,,,5.8,7.5,2024
02001103,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7,,,5.5,,5.25,7.6,,2024
02001104,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8,7.25,7.5,,,,10,8.5,2024
02001105,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,4,,,3.25,,9,9.2,,2024
02001106,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.5,,,4.5,,4.5,5.2,,2024
02001107,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.2,6.5,5.5,6.75,,,,5.4,8,2024
02001108,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.25,,,6.25,,5.5,5,,2024
02001109,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8.25,,,6.25,,6.5,3.4,,2024
02001111,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,6.75,7.5,7.75,,,,8.6,8,2024
02001112,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,6.25,5.75,8.5,,,,9.6,8.25,2024
02001113,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.75,9,7.5,,,,8.2,9,2024
02001114,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,8.25,7,,,,,9,2024
02001115,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.25,8.5,8.25,,,,8.8,9,2024
02001116,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,7.75,8,7.75,,,,9.4,8.5,2024
02001117,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.5,8,8.25,,,,9.2,9.5,2024
02001118,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8,7.5,8,,,,8.2,7.75,2024
02001119,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,4.75,6.5,7.75,,,,8.4,9.25,2024
02001120,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,7.75,,,6.75,,6.25,,,2024
02001121,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,5.25,5.25,6.5,,,,6.4,7.5,2024
02001122,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,6,3.75,5.75,,,,4.4,6.25,2024
02001123,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5.5,,,8.25,,4.5,8,,2024
02001124,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,5.75,,,4.75,,7.5,8.2,,2024
02001125,Sở GD&ĐT Thành Phố Hồ Chí Minh,3.2,4.5,4.5,5,,,,4.4,5.75,2024
02001126,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.25,7.25,6.5,,,,8.2,9,2024
02001127,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7.5,7,8,,,,9,9,2024
02001128,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.4,5.25,7,6.75,,,,7.6,7.25,2024
02001129,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8,6.75,8.5,,,,8.4,9,2024
02001130,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7.5,9.25,8.5,,,,,8.75,2024
02001131,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,5.25,,4.25,8.6,,2024
02001132,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,9,,,4.5,,6.5,9.2,,2024
02001133,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.75,8.5,7.75,,,,,9,2024
02001134,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,8.5,7.5,10,,,,8.6,9.25,2024
02001135,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,9.25,,,9,,6.25,9.2,,2024
02001136,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7.25,,,5.75,,7.75,,,2024
02001137,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.75,7,7,,,,,7.75,2024
02001138,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,6.5,8.5,7.75,,,,8.4,8,2024
02001139,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,8.5,7.5,7.5,,,,7.8,7.75,2024
02001140,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.75,9.25,8.25,,,,9,8,2024
02001141,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.75,7,7.75,,,,,9,2024
02001142,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,8.25,,5.5,9.4,,2024
02001143,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.75,,,6.75,,4.75,9.6,,2024
02001144,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,8,6.25,7,,,,9.2,7.75,2024
02001145,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.75,,,8.25,,7,9.6,,2024
02001146,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7.25,,,5.5,,6.5,8.2,,2024
02001147,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.25,,,4,,7.75,,,2024
02001148,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6,,,5.5,,6.75,,,2024
02001149,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,5,,,7.5,,5.25,,,2024
02001150,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,4,,,4.5,,6,4.6,,2024
02001151,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,4.5,,,5.25,,4.5,9,,2024
02001152,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,7,5.75,6.75,,,,9.4,7,2024
02001153,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,8.5,7.75,,,,8.8,9,2024
02001154,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.5,,,5.5,,4.75,5.8,,2024
02001155,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,5.75,,,8,,6,8.6,,2024
02001156,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.5,6.25,7,,,,5,7.75,2024
02001157,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8.25,,,8.75,,6,8.2,,2024
02001158,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,8.75,,,6.5,,7.75,9.4,,2024
02001159,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.5,,,8,,7.5,9,,2024
02001160,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8,,,7.75,,5.75,8.8,,2024
02001161,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8.25,9,8.5,,,,9.8,9,2024
02001162,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6,,,3.25,,9.25,,,2024
02001163,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,5,,,4.5,,8.25,,,2024
02001164,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,5.75,,,5.25,,7.75,,,2024
02001165,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,5.5,,,8.25,,5.5,9.8,,2024
02001166,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,8.25,6.25,5.5,,,,7.8,7.5,2024
02001167,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,5,,,8,,5.75,8.2,,2024
02001168,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,9,,,8.75,,6.25,9.2,,2024
02001169,Sở GD&ĐT Thành Phố Hồ Chí Minh,5,6,7,6,,,,3.4,7.25,2024
02001170,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6.75,6.25,7.25,,,,7.4,8.5,2024
02001171,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,7.75,6,7.5,,,,5.8,8.25,2024
02001172,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6.5,,,6.5,,5.75,,,2024
02001173,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.25,,,7.25,,8,9.2,,2024
02001174,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,8.5,,,6,,6.5,8.4,,2024
02001175,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,9,8,8.75,,,,8.6,9.25,2024
02001176,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,7.25,7.25,7,,,,8,7.75,2024
02001177,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,7,6.5,5,,,,6.2,8.75,2024
02001178,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7.5,,,4,,7,8.4,,2024
02001179,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,5.25,,,5.75,,7,3.8,,2024
02001180,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.5,,,7.25,,6.75,7.4,,2024
02001181,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8.75,6.75,7.25,,,,,9.25,2024
02001182,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,5.25,,,8,,5.75,8,,2024
02001183,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,7,,,4.75,,7.5,,,2024
02001184,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6,,,5.75,,6,7.2,,2024
02001185,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,6.75,7.25,4.5,,,,9.2,9.25,2024
02001187,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,7,,,7.75,,5.75,9.2,,2024
02001188,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,8,6.75,5.75,,,,7.8,8,2024
02001189,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.6,8.25,6,8.25,,,,8,8.5,2024
02001190,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,4.25,,,6.5,,5,5.8,,2024
02001191,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.6,8,,,5.25,,4.75,3,,2024
02001192,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,7,7.25,6.75,,,,9.4,8.5,2024
02001193,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,6.25,,7.25,9.6,,2024
02001194,Sở GD&ĐT Thành Phố Hồ Chí Minh,6,7,5.25,4.25,,,,,6.5,2024
02001195,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.5,,,8.25,,7.25,9.2,,2024
02001196,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8,7.75,7.75,,,,8.4,9.25,2024
02001197,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,6.5,,,7.5,,4,8.8,,2024
02001198,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.8,6.5,,,7.5,,6,9.8,,2024
02001199,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.2,8.25,,,3.5,,8,6.6,,2024
02001200,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,8,,,5.75,,6.25,7.2,,2024
02001201,Sở GD&ĐT Thành Phố Hồ Chí Minh,3.2,5.25,5,6.25,,,,4.2,7,2024
02001202,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,8.25,8.5,9.75,,,,9,9.75,2024
02001203,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,7.25,,,7,,6.5,8,,2024
02001204,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.4,8.5,8.5,8,,,,8,9.75,2024
02001205,Sở GD&ĐT Thành Phố Hồ Chí Minh,9,4.5,,,9,,7.25,7.2,,2024
02001206,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,6,,,8,,4.5,9.2,,2024
02001207,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.2,7,,,4.25,,5.5,3.8,,2024
02001208,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,3.75,,,8.25,,6,8.4,,2024
02001209,Sở GD&ĐT Thành Phố Hồ Chí Minh,9.2,8.5,,,6.25,,7,9.8,,2024
02001210,Sở GD&ĐT Thành Phố Hồ Chí Minh,7,4.5,,,7.5,,5,8.4,,2024
02001211,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.6,7,,,8.25,,6,9.4,,2024
02001212,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,5.75,,,6.75,,6.25,7.4,,2024
02001213,Sở GD&ĐT Thành Phố Hồ Chí Minh,5.8,7.5,5,6.25,,,,7,7.75,2024
02001214,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.25,,,7.5,,7.25,9.2,,2024
02001215,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,6,,,6,,6,9,,2024
02001216,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,8.25,,,6.75,,5.5,7.6,,2024
02001217,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.4,6,,,7,,5.75,3.6,,2024
02001218,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,5.75,,,5,,5.75,8.2,,2024
02001219,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,8.5,7,7,,,,8.8,8.25,2024
02001220,Sở GD&ĐT Thành Phố Hồ Chí Minh,8,6.25,,,8.75,,4.75,8.8,,2024
02001221,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,7,,,7.75,,4.25,8.8,,2024
02001222,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.4,5.25,,,8,,4.25,9.4,,2024
02001223,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7.75,,,4,,4.75,8.8,,2024
02001224,Sở GD&ĐT Thành Phố Hồ Chí Minh,6.8,6,,,4,,8.25,9.8,,2024
02001225,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.2,6.75,6.5,7.5,,,,7.8,8,2024
02001226,Sở GD&ĐT Thành Phố Hồ Chí Minh,7.6,7,,,6.25,,4.5,5.8,,2024
02001227,Sở GD&ĐT Thành Phố Hồ Chí Minh,8.8,7.25,,,8.5,,7.5,9,,2024
